customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
7590-VHVEG,No,No phone service,DSL,No,Yes,No,No,No,No,No
5575-GNVDE,Yes,No,DSL,Yes,No,Yes,No,No,No,No
3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes
7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No
9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No,Yes
9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No,No
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes
6388-TABGU,Yes,No,DSL,Yes,Yes,No,No,No,No,No
9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,No
7469-LKBCI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No
0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes
5129-JLPIS,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No
3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
8191-XWSZG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9959-WOFKT,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes
4183-MYFRB,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,No
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes
1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1066-JKSGK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No
6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No
6865-JZNKO,Yes,No,DSL,Yes,Yes,No,No,No,No,No
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes
8665-UTDHZ,No,No phone service,DSL,No,Yes,No,No,No,No,Yes
5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes
3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No
4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No
6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No
7310-EGVHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3413-BMNZE,Yes,No,DSL,No,No,No,No,No,No,No
6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No
6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No,Yes
6572-ADKRS,Yes,No,Fiber optic,No,No,Yes,No,No,No,No
5380-WJKOV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes
8168-UQWWF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
8865-TNMNX,Yes,No,DSL,No,Yes,No,No,No,No,No
9489-DEDVP,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No
9867-JCZSP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4671-VJLCL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No
4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No
3714-NTNFO,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No
5948-UJZLF,Yes,No,DSL,No,Yes,No,No,No,No,No
7760-OYPDY,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes
7639-LIAYI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No
2954-PIBKO,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No
8012-SOUDQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
9420-LOJKX,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes
6575-SUVOI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,No
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes
4667-QONEA,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No
1658-BYGOY,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes
